Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-Apr-2024,25-Apr-2024,CE,21000.00,1575.00,1607.75,1507.60,1572.55,1569.30,1572.55,2508.00,28282.52,1948.52,725050.00,-82800.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21050.00,-,-,-,1572.25,1572.25,1508.15,-,-,-,950.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21100.00,1452.30,1465.00,1446.80,1465.00,1465.00,1465.00,34.00,383.48,24.78,7900.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21150.00,-,-,-,1476.10,1476.10,1412.10,-,-,-,750.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21200.00,1338.40,1351.95,1338.40,1342.60,1342.60,1364.55,8.00,90.17,5.37,21600.00,300.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21250.00,-,-,-,1339.25,1339.25,1317.25,-,-,-,1350.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21300.00,1277.75,1289.45,1218.00,1283.25,1280.50,1283.25,128.00,1442.81,79.61,29000.00,-850.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21350.00,-,-,-,1248.55,1248.55,1223.75,-,-,-,1100.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21400.00,1184.60,1208.10,1142.75,1173.70,1173.70,1177.65,100.00,1128.73,58.73,14150.00,-2200.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21450.00,-,-,-,1185.00,1185.00,1131.95,-,-,-,850.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21500.00,1075.50,1123.70,1031.90,1092.50,1090.55,1092.50,2187.00,24684.30,1174.05,315850.00,-17800.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21550.00,-,-,-,945.90,985.20,1042.20,-,-,-,8450.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21600.00,981.95,1010.00,963.00,997.00,1000.00,997.00,80.00,903.40,39.40,55550.00,100.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21650.00,975.00,975.00,925.50,954.70,954.70,954.70,6.00,67.78,2.83,1800.00,100.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21700.00,928.80,928.80,855.00,905.90,904.75,905.90,89.00,1005.42,39.77,65550.00,700.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21750.00,-,-,-,915.00,915.00,870.10,-,-,-,10150.00,-,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21800.00,810.00,840.00,773.05,820.10,823.30,820.10,652.00,7367.25,260.45,87350.00,3800.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21850.00,785.00,785.00,747.30,776.15,776.15,776.15,76.00,859.08,28.78,11900.00,2550.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21900.00,719.20,770.75,679.70,734.15,734.40,734.15,222.00,2510.52,79.62,64750.00,1700.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,21950.00,679.90,725.70,659.00,697.45,697.45,710.35,16.00,181.05,5.45,7400.00,100.00,22453.30
